Event ID,Start Time (UTC),Start Time (Local Pacific),End Time (UTC),End Time (Local Pacific),Duration (s),Dominant Frequency (Hz),Frequency Stddev (Hz),"SPI (peak, counts)","SPI (mean, counts)","SPI (peak, Pa)","SPI (mean, Pa)",Amplitude (peak dB SPL),Amplitude (mean dB SPL),Waveform Type,Mechanical Signature,Impulse/Pressure Event,Distrubance Energy Prominence,Distrubance Energy Concentration,Distrubance-Candidate,Event Discrimination
79,2025-03-30 02:49:22,2025-03-29 19:49:22,2025-03-30 02:49:52,2025-03-29 19:49:52,29.980771430145516,6.37,0.10144439652713581,624.0,24.1873,0.624,0.0241873,89.88309,61.65115,continuous,False,False,True,True,True,disturbance-candidate
84,2025-03-30 02:51:58,2025-03-29 19:51:58,2025-03-30 02:52:28,2025-03-29 19:52:28,29.980771430145516,6.37,0.01667735605686449,80.0,13.730597,0.080000006,0.013730597,72.0412,56.73319,clustered,False,False,True,True,True,disturbance-candidate
62,2025-03-24 15:48:01,2025-03-24 08:48:01,2025-03-24 15:48:31,2025-03-24 08:48:31,29.980771430145516,3.47,0.0,5458.0,85.893524,5.458,0.08589353,108.72008,72.65861,continuous,False,False,True,True,True,disturbance-candidate
22,2025-03-24 23:14:23,2025-03-24 16:14:23,2025-03-24 23:14:53,2025-03-24 16:14:53,29.980771430145516,3.37,0.04160063498801688,294.0,29.648493,0.294,0.029648494,83.346344,63.419453,clustered,False,False,True,True,True,disturbance-candidate
235,2025-03-23 15:37:56,2025-03-23 08:37:56,2025-03-23 15:37:57,2025-03-23 08:37:57,0.980769302718038,5.1,2.1562287049029183,116.0,14.274509,0.116000004,0.014274511,75.26856,57.07062,pulse,True,True,True,False,False,pressure/impulse
251,2025-03-23 17:57:04,2025-03-23 10:57:04,2025-03-23 17:57:06,2025-03-23 10:57:06,1.9807693760776062,8.08,3.820674318798731,176.0,22.582523,0.17600001,0.022582524,78.889656,61.054848,pulse,True,True,True,False,False,pressure/impulse
227,2025-03-23 20:49:11,2025-03-23 13:49:11,2025-03-23 20:49:13,2025-03-23 13:49:13,1.9807693760776062,12.12,3.942140502433258,464.0,50.349514,0.46400002,0.050349515,87.30976,68.0193,pulse,True,True,True,False,False,pressure/impulse
13,2025-03-23 19:05:56,2025-03-23 12:05:56,2025-03-23 19:05:57,2025-03-23 12:05:57,0.980769302718038,4.08,5.53527978148277,266.0,27.215687,0.266,0.027215688,82.477036,62.675785,pulse,True,True,True,False,False,pressure/impulse
100,2025-03-12 15:20:58,2025-03-12 08:20:58,2025-03-12 15:21:28,2025-03-12 08:21:28,29.980771430145516,3.47,0.016677356056864046,138.0,37.08916,0.13800001,0.03708916,76.77698,65.36434,clustered,False,False,True,True,True,disturbance-candidate
40,2025-03-12 00:23:08,2025-03-11 17:23:08,2025-03-12 00:23:38,2025-03-11 17:23:38,29.980771430145516,4.44,0.2754289462396529,156.0,17.899937,0.156,0.017899938,77.84189,59.03643,clustered,False,False,True,True,True,disturbance-candidate
